"year_id","mx","ax","qx","n","px","lx","dx","nLx","Tx","ex","age","location_name","sex"
2003,0.00638671644580073,1.36127042770386,0.0251234646176422,4,0.974876535382358,94131.5273716074,2364.91009732519,370285.751276796,5911015.36957986,62.795277359568,"1","Haiti","female"
2004,0.00635880761601544,1.36112260818481,0.025015468066724,4,0.974984531933276,94787.5492726901,2371.154911954,372893.010001113,5881844.54632121,62.0529235269075,"1","Haiti","female"
2005,0.00651393324670705,1.36135268211365,0.0256154552467207,4,0.974384544753279,94826.0970422212,2429.01364500621,372895.07782938,5977608.43112503,63.0375879380916,"1","Haiti","female"
2006,0.00668112909287809,1.36084377765656,0.0262614600371931,4,0.973738539962807,94676.8780550835,2486.35304948977,372145.63809883,5983358.52834683,63.1976745670224,"1","Haiti","female"
2007,0.0068057815242413,1.36100292205811,0.0267428134656547,4,0.973257186534345,94561.5667194199,2528.8423397975,371572.659332378,6005634.33412409,63.5103091295411,"1","Haiti","female"
2008,0.0061430639535552,1.36088585853577,0.0241802397953068,4,0.975819760204693,94830.111721051,2293.01484123075,373268.918990124,6054243.22861648,63.8430464621347,"1","Haiti","female"
2009,0.00551358508316237,1.36111450195312,0.0217380576860986,4,0.978261942313901,95104.2300024646,2067.38123798557,374961.337642004,6113481.5096294,64.2819095372622,"1","Haiti","female"
2010,0.0156021336350003,1.36109602451324,0.0599406271231718,4,0.940059372876828,94450.9316145109,5661.4480733416,362863.70863029,3779945.32594862,40.0202016151199,"1","Haiti","female"
2011,0.00442584196576444,1.36117708683014,0.0174989968480692,4,0.982501003151931,95487.2106934478,1670.93039895555,377539.553350715,6121072.92408482,64.1035891574624,"1","Haiti","female"
2012,0.00392815679135817,1.3607577085495,0.0155514002390437,4,0.984448599760956,95553.4365450596,1485.98973592828,378291.859224515,6147730.60318692,64.3381423575265,"1","Haiti","female"
2013,0.00346752572497562,1.36119413375854,0.0137443404362948,4,0.986255659563705,95529.6344290419,1312.99181734755,378653.807206224,6189465.13914478,64.7910480987157,"1","Haiti","female"
2014,0.00315344367136159,1.36053764820099,0.0125096519007423,4,0.987490348099258,95546.7300066952,1195.25633263796,379032.085936034,6256711.71223795,65.483263653288,"1","Haiti","female"
2015,0.00292986950167001,1.36149513721466,0.0116295758620611,4,0.988370424137939,95133.9019564577,1106.36692985651,377616.45330138,6268212.66904704,65.888316784441,"1","Haiti","female"
2016,0.00296996612066822,1.3618129491806,0.0117875055322044,4,0.988212494467796,94825.2332937748,1117.75296204294,376352.091784622,6241160.15159552,65.8175037888912,"1","Haiti","female"
1970,0.0189736142387108,1.35201287269592,0.0722637879402489,4,0.927736212059751,87160.4307176888,6298.54288216382,331963.262398013,4535955.08812901,52.0414487489271,"1","Haiti","male"
1971,0.0183916237324746,1.35198712348938,0.0701500970619431,4,0.929849902938057,87077.6248170902,6108.50383284234,332135.10246278,4516357.32186832,51.8658763529104,"1","Haiti","male"
1972,0.019723145439392,1.35200560092926,0.0749767857632071,4,0.925023214236793,86839.7593315818,6510.96603113247,330118.035743349,4463340.75269327,51.3974334688194,"1","Haiti","male"
1973,0.0222149674668612,1.35198211669922,0.0839230438468697,4,0.91607695615313,85947.8005709394,7213.00103585696,324691.046548542,4372867.22157625,50.8781748052642,"1","Haiti","male"
1974,0.0203820770997819,1.35202181339264,0.077353442871484,4,0.922646557128516,85962.3657203911,6649.48494584989,326241.77179278,4427201.61068662,51.501626014888,"1","Haiti","male"
1975,0.0186856158983925,1.35201907157898,0.0712186261829135,4,0.928781373817087,86870.4763818844,6186.79598377303,331099.387754475,4513937.59797666,51.9616996012926,"1","Haiti","male"
1976,0.0179271717984324,1.35200846195221,0.0684588759468246,4,0.931541124053175,86488.7032439401,5920.91940617863,330276.268490737,4523305.50236087,52.2993793721586,"1","Haiti","male"
1977,0.0185374025668664,1.35201740264893,0.0706801534100774,4,0.929319846589923,85384.1888334349,6034.9675655422,325556.266244606,4474058.86380579,52.3991493616419,"1","Haiti","male"
1978,0.0182222890024008,1.35197865962982,0.0695339343688219,4,0.930466065631178,85840.9517720888,5968.85910667763,327558.14079621,4525370.16245638,52.7180799960305,"1","Haiti","male"
1979,0.0195476694492033,1.35198259353638,0.0743425180783255,4,0.925657481921675,86152.8782086179,6404.82190572395,327651.432942815,4544870.48441217,52.7535536701031,"1","Haiti","male"
1980,0.0197544960539792,1.3519823551178,0.075090006874678,4,0.924909993125322,86781.055669061,6516.39006678161,329868.706798471,4589927.91306636,52.890897416252,"1","Haiti","male"
1981,0.0156560791705813,1.35200929641724,0.0601314384909203,4,0.93986856150908,88247.866633699,5306.47116443921,338939.980222531,4771423.18658313,54.0684253182963,"1","Haiti","male"
1982,0.0115183641479914,1.35199630260468,0.044709778358398,4,0.955290221641602,90038.1581756974,4025.5860958338,349492.865836838,4970903.07176872,55.2088489201286,"1","Haiti","male"
1983,0.0106393035866905,1.35203874111176,0.0413911243964111,4,0.958608875603589,91157.6668350446,3773.11832765592,354639.596183344,5059269.19700499,55.5002050037112,"1","Haiti","male"
1984,0.0110020532101976,1.35202777385712,0.042762409936086,4,0.957237590063914,91695.2898619841,3921.11157428639,356398.164903619,5080447.09772126,55.4057586313117,"1","Haiti","male"
1985,0.0128744085839647,1.35199081897736,0.0497998791593998,4,0.9502001208406,90379.3209800496,4500.87926331507,349598.914308265,4964949.7810096,54.9345771485224,"1","Haiti","male"
1986,0.0145519317375248,1.35197007656097,0.0560479769695704,4,0.94395202303043,88321.510352084,4950.24197813128,340177.65252198,4808655.57995777,54.444897520305,"1","Haiti","male"
1987,0.0141438652881342,1.35202848911285,0.0545330589096375,4,0.945466941090362,87389.2062743946,4765.60073382803,336937.650122139,4762515.1884901,54.4977508267578,"1","Haiti","male"
1988,0.0123713925871922,1.3520165681839,0.0479158823349934,4,0.952084117665007,88158.6321144977,4224.19864321225,341448.920438065,4807550.85037516,54.5329565019936,"1","Haiti","male"
1989,0.0123543278047601,1.35203039646149,0.0478518900159909,4,0.952148109984009,88338.0526791719,4227.14278103055,342158.865122702,4776367.5874189,54.0691971642823,"1","Haiti","male"
1990,0.0127952789472836,1.35198509693146,0.0495038228409018,4,0.950496177159098,88901.0684886817,4400.94274483058,343950.511978864,4762112.83559285,53.5664297015635,"1","Haiti","male"
1991,0.01232566649983,1.35207533836365,0.047744410832291,4,0.952255589167709,90193.2417349065,4306.22318768752,349370.412362438,4822476.83139957,53.4682725516582,"1","Haiti","male"
1992,0.012236580166932,1.35197377204895,0.0474101013367386,4,0.952589898663261,91110.9816042197,4319.58087074579,353005.562977389,4870133.02860501,53.4527555609109,"1","Haiti","male"
1993,0.0120807427494232,1.35205101966858,0.0468250747634832,4,0.953174925236517,91393.5386253538,4279.50927903148,354242.232269685,4848143.90957629,53.0469000598621,"1","Haiti","male"
1994,0.0117013812142471,1.35197901725769,0.0453988195969695,4,0.954601180403031,91240.3271502055,4142.20315226066,353992.667738854,4898910.11959551,53.6923778400161,"1","Haiti","male"
1995,0.0112128990287265,1.35184824466705,0.0435582024492395,4,0.956441797550761,91128.3718599073,3969.38807034343,354001.945453552,4918051.65964089,53.9683916135522,"1","Haiti","male"
1996,0.0110212829632591,1.35190713405609,0.0428349767456459,4,0.957165023254354,90893.6890870462,3893.42905836958,353264.594634658,4932831.37973861,54.270339660376,"1","Haiti","male"
1997,0.0108622427129714,1.35216665267944,0.0422342542144862,4,0.957765745785514,90916.6507378716,3839.79693959292,353499.460567893,4948942.42840631,54.4338400968483,"1","Haiti","male"
1998,0.0114478678080595,1.35188543796539,0.0444441354679741,4,0.955555864532026,90517.8712040263,4022.98853006438,351418.150306744,4926805.72719972,54.4290940746358,"1","Haiti","male"
1999,0.0116326005631209,1.35182905197144,0.0451398635703758,4,0.954860136429624,90702.4921103605,4094.29811935476,351967.567109199,4944534.96880973,54.5137719346627,"1","Haiti","male"
2000,0.0122370304480766,1.35199439525604,0.0474118027637479,4,0.952588197236252,90801.3473235246,4305.05556998552,351805.578016043,4951681.44969024,54.5331274881576,"1","Haiti","male"
2001,0.0123334736110241,1.35205352306366,0.0477736834322707,4,0.952226316567729,90713.2673265252,4333.70691636436,351377.645344839,4966646.36432506,54.7510470155095,"1","Haiti","male"
2002,0.0117313163888296,1.35228586196899,0.0455116212478867,4,0.954488378752113,90853.879396527,4134.90734799592,352467.464941371,4996382.75904847,54.993609433473,"1","Haiti","male"
